id	disciplina
155	5A.17.2 - DIREITO CONSTITUCIONAL - ORDENS E CONTROLE DE CONSTITUCIONALIDADE
156	5A.17.2 - DIREITO PENAL - LEGISLAÇÃO ESPECIAL
157	5D.17.2 - DIREITO PROCESSUAL PENAL - PARTE GERAL I
158	5D.17.2 - DIREITO CIVIL - CONTRATOS
159	5D.17.2 - DIREITO DO DESENVOLVIMENTO REGIONAL – INDÍGENA
160	5D.17.2 - DIREITO CONSTITUCIONAL - ORDENS E CONTROLE DE CONSTITUCIONALIDADE
161	5D.17.2 - DIREITO PENAL - LEGISLAÇÃO ESPECIAL
162	5D.17.2 - DIREITO PROCESSUAL CIVIL - PARTE GERAL II
163	7A.17.2 - EMAJ/NPJ
164	7A.17.2 - PROJETO INTEGRADOR: CUMPRIMENTO DE SENTENÇA E EXECUÇÃO NO PROCESSO CIVIL
165	7A.17.2 - DIREITO ADMINISTRATIVO
166	7A.17.2 - DIREITO CIVIL - DIREITOS REAIS
167	7A.17.2 - METODOLOGIA CIENTÍFICA E PESQUISA
168	7A.17.2 - DIREITO PENAL ESTUDO DOS TIPOS PENAIS
169	7A.17.2 - DIREITO DO CONSUMIDOR
170	1A.40.2-FUNDAMENTOS
171	1A.40.43.44.2-PI-SAUDE
172	1A.40.43.44.2-ANATOMIA
173	1A.40.43.44.2-BIOQUIMICA
174	1A.40.43.44.2-BIO-CEL
175	3A.37.40.43.2-PSICOLOGIA
176	3A.37.40.43.2-PATOLOGIA
177	3A.40.2 - P.I: CINESIOLOGIA\t\t\t\t\t\t
178	3A.37.40.43.2-METODOLOGIA CIENTÍFICA
179	3A.37.40.43.2-AGRESSÃO E DEFESA
180	5A.40.2 - TEORIA E PRÁTICA DA NATAÇÃO E ATIVIDADES  AQUÁTICAS I
181	5A.40.2 - TEORIA E PRÁTICA DO BASQUETEBOL
182	5A.40.2 - TEORIA E PRÁTICA DO FUTEBOL
183	5A.40.2 - TEORIA E PRÁTICA DAS ATIVIDADES RÍTMICAS E DANÇA
184	5A.40.2 - HIGIENE E SOCORROS URGENTES
185	1A.37.2-FUNDAMENTOS
186	1A.37.49.2-BIOQUIMICA
187	1A.37.49.2-ANATOMIA
188	1A.37.49.2-PI-SAUDE
189	1A.37.49.2-BIO-CEL
190	3A.37.2 - PROJETO INTEGRADOR: CUIDADO E DOENÇAS INFECCIOSAS
191	5A.37.2 - ENFERMAGEM E AS DIFERENÇAS ÉTNICO-RACIAIS
192	5A.37.2 - SEMIOLOGIA E SEMIOTÉCNICA II
193	5A.37.2 - SAÚDE COLETIVA I
194	5A.37.2 - ENFERMAGEM NA SAÚDE DO IDOSO
195	5A.37.2 - ENFERMAGEM E DOENÇAS TRANSMISSÍVEIS
196	5A.37.2 - FARMACOLOGIA APLICADA A ENFERMAGEM
197	7A.37.2 - ENFERMAGEM CLINICA II
198	7A.37.2 - ENFERMAGEM NA SAÚDE DA MULHER E DO RECÉM NASCIDO
199	7A.37.2 - ENFERMAGEM NA SAÚDE DA CRIANÇA E DO ADOLESCENTE
200	7A.37.2 - PRÁTICAS EM SEMIOLOGIA E SEMIOTÉCNICA
201	7A.37.2 - ENFERMAGEM CIRÚRGICA E EM CENTRO CIRÚRGICO I
202	9A.37.2 - ESTÁGIO SUPERVISIONADO EM CLINICA CIRÚRGICA
203	9A.37.2 - ESTÁGIO SUPERVISIONADO EM SAÚDE DA CRIANÇA E DO ADOLESCENTE
204	9A.37.2 - ESTÁGIO SUPERVISIONADO EM ENFERMAGEM CLINICA
205	9A.37.2 - ESTÁGIO SUPERVISIONADO EM CENTRO CIRÚRGICO
206	9A.37.2 - ESTÁGIO SUPERVISIONADO EM UNIDADE DE TERAPIA INTENSIVA
207	1A.48.2 - LÓGICA MATEMÁTICA E ALGORITMO
208	1A.48.2 - QUÍMICA TECNOLÓGICA
209	1A.48.2 - FUNDAMENTOS DA ENGENHARIA
210	1A.48.2 - COMPONENTE CURRICULAR
211	1A.48.2 - FUNDAMENTOS DE CÁLCULO
212	1A.48.2 - PROJETO INTEGRADOR: EXPRESSÃO GRÁFICA
213	1A.47.2-QUÍMICA-TECNOLÓGICA
214	1A.47.2-PI-EXPRESSÃO-GRÁFICA
215	1A.47.2-LÓGICA
216	1A.47.2-CÁLCULO
217	1A.47.2-FUNDAMENTOS
218	3A.47.2 - PROJETO INTEGRADOR: GESTÃO AMBIENTAL
219	3A.47.2 - FENÔMENOS DE TRANSPORTE
220	3A.47.2 - RESISTÊNCIA DOS MATERIAIS
221	3A.47.2 - METODOLOGIA CIENTÍFICA E PESQUISA
222	1A.49.2 - FUNDAMENTOS DA ESTÉTICA E IMAGEM PESSOAL
223	1A.38.2-FUNDAMENTOS
224	3A.38.2 - PROJETO INTEGRADOR:  DEONTOLOGIA, LEGISLAÇÃO FARMACÊUTICA E
225	5A.38.2 - HEMATOLOGIA
226	5A.38.2 - FARMACOLOGIA II
227	5A.38.2 - COSMETOLOGIA
228	5A.38.2 - FARMACOTÉCNICA
229	5A.38.2 - BROMATOLOGIA
230	7A.38.2 - ENZIMOLOGIA
231	7A.38.2 - GESTÃO DE EMPRESAS FARMACÊUTICAS
232	7A.38.2 - TECNOLOGIA FARMACÊUTICA
233	7A.38.2 - FARMÁCIA HOSPITALAR
234	7A.38.2 - QUÍMICA FARMACÊUTICA
235	7A.38.2 - ESTÁGIO SUPERVISIONADO I
236	9A.38.2 - ESTÁGIO SUPERVISIONADO III
237	9A.38.2 - CONTROLE FÍSICO-QUÍMICO DOS MEDICAMENTOS
238	9A.38.2 - CONTROLE BIOLÓGICO E MICROBIOLÓGICO DOS MEDICAMENTOS
239	1A.43.2 - FUNDAMENTOS À FISIOTERAPIA
240	2A.43.2 - FUNDAMENTOS À FISIOTERAPIA
241	3A.43.2 - PROJETO INTEGRADOR: CINESIOLOGIA
242	5A.43.2 - PRÓTESE, ÓRTESE E TÉCNICAS ASSISTIDAS
243	5A.43.2 - FISIOLOGIA DO EXERCÍCIO
244	5A.43.2 - FISIOTERAPIA PREVENTIVA
245	5A.43.2 - FISIOTERAPIA EM TRAUMATOLOGIA E ORTOPEDIA
246	5A.43.2 - DIAGNÓSTICO POR IMAGEM EM FISIOTERAPIA
247	5A.43.2 - ÉTICA, DEONTOLOGIA E LEGISLAÇÃO
248	7A.43.2 - FISIOTERAPIA NEUROMOTORA
249	7A.43.2 - FISIOTERAPIA EM ONCOLOGIA
250	7A.43.2 - FISIOTERAPIA EM PNEUMOLOGIA 
251	7A.43.2 - FISIOTERAPIA EM CARDIOLOGIA 
252	7A.43.2 - GESTÃO EM FISIOTERAPIA
253	7A.43.2 - FISIOTERAPIA EM REUMATOLOGIA
254	1A.36.2-QUIMICA
255	1A.36.2-PI-SAUDE
256	1A.36.2-ANATOMIA
257	1A.36.2-BIO-CEL
258	1A.36.2-BIOQUÍMICA
259	1A.44.2-FUNDAMENTOS
260	3A.44.2 - ANATOMIA RADIOLÓGICA
261	3A.44.2 - EQUIPAMENTOS DE RAIOS-X
262	3A.44.2 - MECANISMO DE AGRESSÃO E DEFESA
263	3A.44.2 - INSTRUMENTAÇÃO E DOSIOMETRIA
264	3A.44.2 - PROJETO INTEGRADOR:  BASES DA URGÊNCIA E EMERGÊNCIA EM SAÚDE
265	5A.44.2 - TOMOGRAFIA COMPUTADORIZADA 
266	5A.44.2 - TÓPICOS AVANÇADOS EM TECNOLOGIA RADIOLÓGICA I
267	5A.44.2 - ESTÁGIO SUPERVISIONADO II
268	5A.44.2 - LEGISLAÇÃO APLICADA
269	5A.44.2 - ULTRASSONOGRAFIA E DENSITOMETRIA ÓSSEA
